@relation Five_activities_data_with__50_window_size_without_overlapping

@attribute mean_x numeric
@attribute mean_y numeric
@attribute mean_z numeric
@attribute magnitude_mean numeric
@attribute std_x numeric
@attribute std_y numeric
@attribute std_z numeric
@attribute magnitude_std numeric
@attribute rms_x numeric
@attribute rms_y numeric
@attribute rms_z numeric
@attribute magnitude_rms numeric
@attribute min_x numeric
@attribute min_y numeric
@attribute min_z numeric
@attribute magnitude_min numeric
@attribute max_x numeric
@attribute max_y numeric
@attribute max_z numeric
@attribute magnitude_max numeric
@attribute median_x numeric
@attribute median_y numeric
@attribute median_z numeric
@attribute magnitude_median numeric
@attribute mad_x numeric
@attribute mad_y numeric
@attribute mad_z numeric
@attribute magnitude_mad numeric
@attribute corr_xy numeric
@attribute corr_yz numeric
@attribute corr_xz numeric
@attribute class {SITTING,STANDING,WALKING,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS}

@data
-4.526625,0.729199,-8.887114,10.000155,0.011809,0.011072,0.014373,0.014955,4.52664,0.729283,8.887125,10.000166,-4.558853,0.704681,-8.919189,9.963662,-4.496597,0.757355,-8.856949,10.037891,-4.527725,0.731018,-8.888077,9.999363,0.008904,0.008885,0.011435,0.011752,0.097747,-0.013544,0.232868,SITTING
-4.525573,0.727953,-8.888023,10.000404,0.01458,0.014883,0.013395,0.015012,4.525597,0.728106,8.888033,10.000415,-4.570816,0.68074,-8.921585,9.974289,-4.494202,0.75975,-8.86174,10.038964,-4.52533,0.727425,-8.888077,10.000331,0.011195,0.011398,0.01097,0.012087,0.359479,-0.275874,0.234921,SITTING
-4.541231,0.736813,-8.876197,9.997647,0.015217,0.011353,0.01603,0.014662,4.541257,0.7369,8.876211,9.997657,-4.568436,0.69989,-8.902435,9.961239,-4.510971,0.762146,-8.833008,10.024888,-4.542099,0.738205,-8.878494,10.000247,0.012266,0.008684,0.012637,0.011275,-0.006983,0.115788,-0.169331,SITTING
-4.515278,0.728384,-8.892907,10.000112,0.011044,0.009128,0.010722,0.012267,4.515291,0.728441,8.892914,10.00012,-4.537308,0.704681,-8.926376,9.967523,-4.491821,0.745377,-8.866516,10.029814,-4.515762,0.728622,-8.892853,9.99936,0.009021,0.007166,0.008004,0.00952,0.172855,-0.043569,0.36615,SITTING
-4.510681,0.72441,-8.894487,9.999157,0.010333,0.01022,0.012932,0.011987,4.510692,0.724482,8.894496,9.999164,-4.532517,0.702286,-8.928772,9.974088,-4.48703,0.745377,-8.871307,10.028909,-4.510971,0.726227,-8.892853,9.997685,0.008261,0.008382,0.009897,0.00956,0.18635,0.074736,-0.077979,SITTING
-4.510633,0.725129,-8.891807,9.996806,0.011981,0.011232,0.009977,0.010218,4.510649,0.725216,8.891813,9.996811,-4.534912,0.69989,-8.919189,9.980228,-4.479843,0.750168,-8.871307,10.033061,-4.510971,0.726227,-8.890472,9.995911,0.009475,0.009521,0.007777,0.007897,0.087066,0.015385,-0.032743,SITTING
-4.531319,0.728672,-8.880505,9.996386,0.016203,0.015783,0.015934,0.01471,4.531348,0.728843,8.880519,9.996397,-4.573212,0.68074,-8.909622,9.947674,-4.491821,0.757355,-8.830612,10.024992,-4.532517,0.728622,-8.88089,9.996932,0.012928,0.011932,0.012482,0.010777,0.30632,0.084238,-0.151005,SITTING
-4.518869,0.723499,-8.89195,10.000545,0.010868,0.019379,0.01231,0.012699,4.518882,0.723759,8.891959,10.000553,-4.549271,0.683136,-8.914413,9.976553,-4.494202,0.795654,-8.864136,10.025123,-4.518158,0.721436,-8.891663,10.000671,0.008338,0.012183,0.010006,0.010033,0.400087,0.151322,0.238972,SITTING
-4.515278,0.722255,-8.894249,10.000861,0.008564,0.009156,0.013813,0.013083,4.515286,0.722313,8.894259,10.00087,-4.534912,0.69989,-8.935959,9.976525,-4.48703,0.738205,-8.871307,10.040102,-4.515762,0.721436,-8.892853,10.000023,0.006722,0.007646,0.011036,0.010152,0.084306,-0.009169,0.053953,SITTING
-4.511255,0.724505,-8.895205,10.00006,0.010028,0.010034,0.012664,0.012899,4.511267,0.724574,8.895214,10.000068,-4.527725,0.697495,-8.921585,9.972812,-4.48703,0.750168,-8.864136,10.030553,-4.510971,0.723831,-8.895248,10.000929,0.007864,0.007743,0.009725,0.010149,0.091896,-0.222858,0.152632,SITTING
-4.509963,0.721488,-8.893961,9.998152,0.010942,0.008231,0.012181,0.012071,4.509977,0.721535,8.893969,9.998159,-4.539703,0.69989,-8.921585,9.966747,-4.489426,0.740601,-8.86174,10.033203,-4.508575,0.721436,-8.892853,9.997054,0.00826,0.006276,0.009763,0.008976,0.21327,-0.241772,0.016076,SITTING
-4.502972,0.720674,-8.901478,10.001643,0.018879,0.01237,0.022698,0.024442,4.503012,0.72078,8.901507,10.001673,-4.546875,0.697495,-8.947922,9.953699,-4.453507,0.757355,-8.840195,10.055859,-4.50618,0.71904,-8.902435,10.000625,0.014926,0.008813,0.017545,0.019499,0.035538,0.171146,0.359339,SITTING
-4.50393,0.719955,-8.898701,9.999544,0.012463,0.01166,0.013141,0.013689,4.503947,0.72005,8.898711,9.999553,-4.52533,0.695099,-8.926376,9.95735,-4.479843,0.747772,-8.859345,10.022751,-4.503784,0.721436,-8.90004,10.000717,0.01059,0.009205,0.009792,0.010107,0.217778,-0.138924,0.134858,SITTING
-4.505892,0.719095,-8.897793,9.999563,0.016804,0.011294,0.013403,0.014016,4.505923,0.719183,8.897803,9.999573,-4.551666,0.695099,-8.935959,9.972915,-4.470261,0.750168,-8.871307,10.036776,-4.503784,0.71785,-8.897644,9.999659,0.013205,0.008479,0.010684,0.011186,-0.082338,-0.131047,-0.041019,SITTING
-4.50709,0.717466,-8.895877,9.998276,0.013415,0.010187,0.014107,0.014064,4.50711,0.717538,8.895888,9.998286,-4.537308,0.687927,-8.919189,9.960387,-4.482239,0.742996,-8.86174,10.026926,-4.508575,0.71904,-8.895248,9.998829,0.011181,0.007704,0.011469,0.011007,0.050685,-0.299737,-0.012785,SITTING
-4.510586,0.717516,-8.895733,9.999746,0.02017,0.01146,0.021323,0.018621,4.510631,0.717607,8.895759,9.999764,-4.561249,0.685532,-8.971863,9.959976,-4.455902,0.742996,-8.837799,10.054043,-4.509773,0.71666,-8.897644,9.998927,0.015994,0.008912,0.015687,0.013712,0.022355,0.198304,-0.261328,SITTING
-4.510538,0.715982,-8.896261,10.00007,0.014749,0.012132,0.013779,0.013945,4.510562,0.716085,8.896271,10.000079,-4.544479,0.683136,-8.935959,9.965645,-4.475052,0.733414,-8.864136,10.0403,-4.509773,0.71785,-8.892853,9.998978,0.010966,0.010176,0.01047,0.010567,0.063197,-0.1713,-0.022534,SITTING
-4.51274,0.718425,-8.89669,10.001615,0.01142,0.010618,0.01255,0.01236,4.512754,0.718503,8.896699,10.001623,-4.534912,0.685532,-8.926376,9.959831,-4.48703,0.752564,-8.86174,10.031367,-4.514565,0.71785,-8.897644,10.001887,0.009675,0.008089,0.010189,0.009826,0.124233,-0.245891,-0.018528,SITTING
-4.528684,0.720005,-8.887113,10.000444,0.020428,0.014728,0.018651,0.016403,4.52873,0.720156,8.887133,10.000457,-4.563644,0.68074,-8.933563,9.958128,-4.460693,0.742996,-8.849762,10.030922,-4.527725,0.721436,-8.884483,10.001052,0.016166,0.011146,0.015094,0.01329,0.027409,0.194025,-0.277139,SITTING
-4.53151,0.718809,-8.886684,10.001233,0.011934,0.010974,0.011729,0.012288,4.531525,0.718892,8.886691,10.001241,-4.563644,0.695099,-8.919189,9.971363,-4.508575,0.745377,-8.859345,10.029163,-4.530121,0.71666,-8.886879,10.00179,0.00945,0.008827,0.008762,0.00985,-0.418386,-0.205034,0.049095,SITTING
-4.553872,0.648658,-8.883044,10.004495,0.083204,0.126269,0.054011,0.053363,4.554632,0.660833,8.883208,10.004637,-4.812637,0.343155,-9.022141,9.894927,-4.333801,0.865097,-8.730057,10.141379,-4.534912,0.711868,-8.890472,9.996414,0.059499,0.101975,0.036315,0.03982,0.260197,-0.145917,-0.242124,SITTING
-4.753356,0.654547,-8.77023,9.999052,0.171368,0.047176,0.10663,0.040839,4.756444,0.656245,8.770878,9.999136,-5.324997,0.580185,-8.931168,9.899187,-4.479843,0.783691,-8.46669,10.122834,-4.702499,0.649612,-8.804276,9.994548,0.1203,0.038181,0.08112,0.030786,-0.249663,0.183858,-0.903053,SITTING
-4.633983,0.623614,-8.848662,10.008129,0.030063,0.012841,0.023527,0.022107,4.63408,0.623746,8.848693,10.008153,-4.697708,0.592148,-8.904831,9.953317,-4.56604,0.652008,-8.787521,10.078023,-4.639061,0.625671,-8.847366,10.006991,0.025067,0.010379,0.018347,0.016472,0.2378,0.25193,-0.215478,SITTING
-4.612626,0.622177,-8.857379,10.005854,0.016499,0.011544,0.018722,0.014548,4.612655,0.622284,8.857398,10.005865,-4.661804,0.599335,-8.90004,9.972739,-4.58519,0.652008,-8.813858,10.04024,-4.609131,0.62088,-8.858147,10.004238,0.012815,0.00911,0.014702,0.011369,-0.250792,0.350579,-0.459151,SITTING
-4.599841,0.617963,-8.861784,10.003592,0.011298,0.010024,0.014708,0.014618,4.599855,0.618044,8.861796,10.003603,-4.628281,0.589767,-8.895248,9.965973,-4.575607,0.652008,-8.825821,10.041854,-4.601944,0.617287,-8.862938,10.00424,0.009086,0.007229,0.01154,0.011118,-0.088546,-0.289379,0.083284,SITTING
-4.600512,0.617962,-8.863076,10.005044,0.011096,0.009289,0.012358,0.01206,4.600525,0.618032,8.863084,10.005052,-4.630676,0.592148,-8.892853,9.982758,-4.575607,0.63765,-8.840195,10.034499,-4.600746,0.618485,-8.86174,10.003209,0.008714,0.007005,0.009789,0.009711,-0.033886,0.079607,0.000481,SITTING
-4.616073,0.623086,-8.85575,10.00605,0.013781,0.010749,0.014838,0.012794,4.616094,0.623179,8.855762,10.006058,-4.642654,0.599335,-8.888077,9.981047,-4.58519,0.649612,-8.825821,10.033777,-4.617516,0.62088,-8.854553,10.005457,0.011281,0.008229,0.012212,0.010137,-0.18334,0.223551,-0.283362,SITTING
-4.602761,0.619448,-8.865327,10.008198,0.023081,0.008026,0.026579,0.020263,4.602819,0.6195,8.865367,10.008219,-4.680954,0.604126,-8.926376,9.945072,-4.558853,0.63765,-8.78273,10.053689,-4.601944,0.618485,-8.866516,10.010287,0.016169,0.00657,0.018433,0.014573,0.024627,0.033246,-0.511541,SITTING
-4.656056,0.612505,-8.833771,10.004557,0.0339,0.009978,0.028424,0.020767,4.65618,0.612587,8.833816,10.004578,-4.714478,0.587372,-8.902435,9.948148,-4.546875,0.640045,-8.765961,10.06293,-4.658211,0.611313,-8.834206,10.007041,0.024096,0.00766,0.020782,0.015598,-0.234913,0.069935,-0.56833,SITTING
-4.607885,0.611451,-8.860586,10.005934,0.039493,0.012932,0.030385,0.019662,4.608054,0.611588,8.860638,10.005954,-4.685745,0.587372,-8.926376,9.956796,-4.522934,0.635254,-8.804276,10.055844,-4.609131,0.611313,-8.859345,10.006179,0.032465,0.011162,0.024184,0.014747,-0.268811,0.380322,-0.674743,SITTING
-4.56838,0.618011,-8.878734,10.004441,0.054574,0.025834,0.044607,0.027399,4.568706,0.618551,8.878846,10.004479,-4.697708,0.561035,-8.974258,9.935603,-4.451111,0.673553,-8.780334,10.082238,-4.564842,0.617287,-8.878495,10.004461,0.04391,0.020493,0.03596,0.019889,-0.162373,0.44856,-0.707951,SITTING
