mean_x,mean_y,mean_z,magnitude_mean,std_x,std_y,std_z,magnitude_std,rms_x,rms_y,rms_z,magnitude_rms,min_x,min_y,min_z,magnitude_min,max_x,max_y,max_z,magnitude_max,median_x,median_y,median_z,magnitude_median,mad_x,mad_y,mad_z,magnitude_mad,corr_xy,corr_yz,corr_xz,class
-4.354099124,0.770904845,-8.96473357,9.995957253,0.011896323,0.011558353,0.011985287,0.013371403,4.354115376,0.770991488,8.964741582,9.995966197,-4.3792877,0.7477722,-8.988632,9.968416115,-4.3242188,0.8028412,-8.935959,10.02580886,-4.3553467,0.77051543,-8.965889,9.997129484,0.009244271,0.008761294,0.00952791,0.010666607,-0.114438426,-0.179104581,0.279344745,SITTING
-4.35112974,0.769467772,-8.96875524,9.998159716,0.012268972,0.009375522,0.014399414,0.015141867,4.351147038,0.769524887,8.968766799,9.998171182,-4.3744965,0.75016785,-9.002991,9.959576197,-4.30986,0.78608704,-8.928772,10.03199006,-4.3517532,0.7693176,-8.969467,9.999668933,0.008907468,0.007623711,0.011461802,0.01231207,0.168108904,-0.380306577,0.20034018,SITTING
-4.348113432,0.767504881,-8.96885133,9.996786512,0.013395127,0.010808747,0.013120665,0.013273202,4.348134065,0.767580987,8.968860927,9.996795324,-4.3888702,0.7429962,-8.995804,9.960337063,-4.317032,0.78608704,-8.933563,10.02704064,-4.346962,0.76812743,-8.969467,9.996459031,0.010487692,0.008616332,0.009934257,0.010253238,0.214445778,0.023299252,0.04026207,SITTING
-4.335232534,0.769851685,-8.97253809,9.994732305,0.030691198,0.015788509,0.021140528,0.017799581,4.335341172,0.770013567,8.972562995,9.994748154,-4.3888702,0.7358093,-9.01976,9.948116806,-4.273941,0.8052368,-8.926376,10.04098548,-4.33978275,0.77171326,-8.970665,9.995783134,0.025494186,0.012720339,0.017031961,0.013729017,0.067390564,0.100916874,-0.426607608,SITTING
-4.30779602,0.764679867,-8.98905906,9.997272367,0.015860744,0.012453492,0.017155156,0.016455962,4.307825218,0.764781269,8.98907543,9.997285911,-4.3385925,0.7358093,-9.029327,9.971271158,-4.26915,0.7956543,-8.950317,10.0405024,-4.3074646,0.76573943,-8.993423,9.997138796,0.012798877,0.009432071,0.013785093,0.01320474,0.236481222,-0.140386925,-0.073844389,SITTING
-4.6026181,0.776459966,-8.83037295,9.991955689,0.226519638,0.06209316,0.15917528,0.061602542,4.608188855,0.77893879,8.831807471,9.992145584,-4.949112,0.64004517,-9.046082,9.81176874,-4.3026733,0.89860535,-8.552887,10.17693234,-4.6282806,0.7741089,-8.866524,9.995441773,0.197556636,0.048792162,0.142674656,0.04568285,-0.514504211,0.652126533,-0.901207673,SITTING
-4.6662561,0.760466308,-8.80623808,9.995624706,0.084255616,0.042266015,0.078767745,0.068268846,4.667016713,0.761639955,8.806590344,9.995857837,-4.8964386,0.62327576,-8.976654,9.717795593,-4.5205383,0.85791016,-8.550491,10.19827599,-4.6594086,0.762146,-8.824623,9.992769731,0.066195984,0.032580003,0.056428267,0.04134531,0.138745464,-0.109459915,-0.312104452,SITTING
-4.587869904,0.741649474,-8.85144048,9.997473279,0.044877937,0.015569451,0.03051464,0.017560698,4.588089394,0.741812881,8.851493078,9.997488702,-4.6761627,0.71665955,-8.907227,9.945506294,-4.498993,0.77171326,-8.770752,10.04491095,-4.5827943,0.73940278,-8.855751,9.996365058,0.038905192,0.012797811,0.025674402,0.013164727,-0.624521295,0.542277141,-0.757284759,SITTING
-4.584087814,0.740977778,-8.85201359,9.996068859,0.012948757,0.011345139,0.015122186,0.013644714,4.584106102,0.741064626,8.852026507,9.996078172,-4.606735,0.7190399,-8.8832855,9.966367085,-4.542099,0.77890015,-8.816238,10.0215593,-4.5875854,0.7406006,-8.854553,9.998460514,0.010333336,0.008855081,0.012318023,0.0108045,0.066579214,-0.062492262,-0.188185624,SITTING
-4.57824433,0.737243039,-8.85862309,9.998966553,0.012406078,0.010664283,0.013977686,0.013504675,4.578261139,0.737320164,8.858634117,9.998975673,-4.609131,0.7142639,-8.897644,9.96615587,-4.554062,0.7645416,-8.833008,10.0359076,-4.57680515,0.73700713,-8.86174,10.00018749,0.009759979,0.008619386,0.011338359,0.010359777,0.106408586,0.042394001,-0.015518159,SITTING
